"Timestamp","Year","
GPA","Do you drink? (At least once a week on average)","
Do you smoke weed? (At least once a week on average)","Do you consume nicotine? (At least once a week on average)","Do you take any other drugs? (At least once a week on average)","
Do you party? That is, do you drink/smoke/etc in large groups? (At least once a week on average)"
"2026/03/09 4:08:03 PM MDT","3rd Year","3.5 - 4.0","Yes","No","No","No","Yes"
"2026/03/09 4:09:37 PM MDT","4th Year","3.5 - 4.0","No","Yes","No","No","Yes"
"2026/03/09 4:10:01 PM MDT","4th Year","3.5 - 4.0","Yes","Yes","No","No","Yes"
"2026/03/09 4:11:02 PM MDT","4th Year","3.0 - 3.5","Yes","No","Yes","Yes","Yes"
"2026/03/09 4:11:08 PM MDT","4th Year","3.0 - 3.5","Yes","Yes","Yes","No","Yes"
"2026/03/09 4:11:43 PM MDT","4th Year","3.0 - 3.5","Yes","Yes","No","No","Yes"
"2026/03/09 4:13:09 PM MDT","4th Year","3.0 - 3.5","Yes","Yes","No","No","Yes"
"2026/03/09 4:15:00 PM MDT","4th Year","3.0 - 3.5","Yes","Yes","Yes","No","Yes"
"2026/03/09 4:15:04 PM MDT","4th Year","2.5 - 3.0","Yes","Yes","No","No","Yes"
"2026/03/09 4:23:11 PM MDT","3rd Year","3.5 - 4.0","Yes","Yes","Yes","No","Yes"
"2026/03/09 4:23:13 PM MDT","3rd Year","3.0 - 3.5","Yes","No","Yes","No","Yes"
"2026/03/09 4:23:50 PM MDT","4th Year","3.5 - 4.0","Yes","No","No","No","Yes"
"2026/03/09 4:23:58 PM MDT","4th Year","3.5 - 4.0","Yes","No","No","No","Yes"
"2026/03/09 4:24:15 PM MDT","4th Year","3.5 - 4.0","Yes","Yes","No","No","Yes"
"2026/03/09 4:25:14 PM MDT","3rd Year","3.5 - 4.0","Yes","Yes","No","No","Yes"
"2026/03/09 4:25:23 PM MDT","3rd Year","3.0 - 3.5","Yes","No","No","No","Yes"
"2026/03/09 4:25:46 PM MDT","4th Year","3.0 - 3.5","No","No","No","No","No"
"2026/03/09 4:25:46 PM MDT","2nd Year","3.5 - 4.0","Yes","No","No","No","No"
"2026/03/09 4:25:50 PM MDT","Graduate Student","3.5 - 4.0","No","No","No","No","No"
"2026/03/09 4:26:08 PM MDT","4th Year","3.0 - 3.5","Yes","Yes","Yes","No","Yes"
"2026/03/09 4:26:09 PM MDT","1st Year","3.0 - 3.5","No","No","No","No","No"
"2026/03/09 4:26:13 PM MDT","3rd Year","3.5 - 4.0","Yes","No","No","No","Yes"
"2026/03/09 4:26:19 PM MDT","3rd Year","3.0 - 3.5","Yes","Yes","Yes","No","No"
"2026/03/09 4:26:34 PM MDT","1st Year","3.5 - 4.0","No","No","No","No","No"
"2026/03/09 4:26:51 PM MDT","1st Year","3.0 - 3.5","Yes","Yes","No","No","Yes"
"2026/03/09 4:26:56 PM MDT","2nd Year","3.5 - 4.0","No","No","No","No","No"
"2026/03/09 4:27:00 PM MDT","3rd Year","3.5 - 4.0","Yes","No","Yes","No","Yes"
"2026/03/09 4:27:08 PM MDT","2nd Year","3.5 - 4.0","Yes","No","No","No","No"
"2026/03/09 4:27:12 PM MDT","2nd Year","3.5 - 4.0","Yes","No","No","No","No"
"2026/03/09 4:27:20 PM MDT","4th Year","3.0 - 3.5","Yes","No","No","No","Yes"
"2026/03/09 4:27:22 PM MDT","2nd Year","3.5 - 4.0","No","No","No","","No"
"2026/03/09 4:27:27 PM MDT","3rd Year","3.5 - 4.0","Yes","No","No","No","Yes"
"2026/03/09 4:27:54 PM MDT","4th Year","3.5 - 4.0","Yes","No","No","No","Yes"
"2026/03/09 4:27:59 PM MDT","3rd Year","3.5 - 4.0","Yes","No","No","No","Yes"
"2026/03/09 4:28:00 PM MDT","4th Year","3.5 - 4.0","Yes","No","No","No","Yes"
"2026/03/09 4:28:25 PM MDT","3rd Year","3.5 - 4.0","Yes","Yes","Yes","No","No"
"2026/03/09 4:28:46 PM MDT","3rd Year","3.5 - 4.0","No","No","No","No","Yes"
"2026/03/09 4:29:12 PM MDT","4th Year","3.5 - 4.0","Yes","No","No","No","Yes"
"2026/03/09 4:29:52 PM MDT","2nd Year","3.5 - 4.0","No","No","No","No","No"
"2026/03/09 4:29:53 PM MDT","4th Year","3.5 - 4.0","Yes","No","No","No","Yes"
"2026/03/09 4:30:01 PM MDT","4th Year","3.5 - 4.0","Yes","Yes","Yes","No","Yes"
