Year,GPA,Party
3rd,3.75,Yes
4th,3.75,Yes
4th,3.75,Yes
4th,3.25,Yes
4th,3.25,Yes
4th,3.25,Yes
4th,3.25,Yes
4th,3.25,Yes
4th,2.75,Yes
3rd,3.75,Yes
3rd,3.25,Yes
4th,3.75,Yes
4th,3.75,Yes
4th,3.75,Yes
3rd,3.75,Yes
3rd,3.25,Yes
4th,3.25,No
2nd,3.75,No
4th,3.25,Yes
1st,3.25,No
3rd,3.75,Yes
3rd,3.25,No
1st,3.75,No
1st,3.25,Yes
2nd,3.75,No
3rd,3.75,Yes
2nd,3.75,No
2nd,3.75,No
4th,3.25,Yes
2nd,3.75,No
3rd,3.75,Yes
4th,3.75,Yes
3rd,3.75,Yes
4th,3.75,Yes
3rd,3.75,No
3rd,3.75,Yes
4th,3.75,Yes
2nd,3.75,No
4th,3.75,Yes
4th,3.75,Yes
2nd,3.75,Yes
4th,2.75,Yes
3rd,3.75,Yes
3rd,3.75,Yes
3rd,3.75,Yes
3rd,3.25,No
3rd,3.75,Yes
2nd,3.75,No
3rd,3.25,No
4th,3.25,Yes
4th,3.25,Yes
1st,3.75,No
4th,3.75,Yes
2nd,3.75,No
4th,3.75,Yes
4th,3.75,No
4th,3.75,No
3rd,3.75,Yes
3rd,3.75,Yes
4th,3.75,Yes
4th,3.25,No
2nd,3.75,No
3rd,3.75,Yes
4th,3.75,Yes
4th,3.75,Yes
4th,3.75,Yes
3rd,3.75,Yes
3rd,3.75,No
4th,3.75,Yes
3rd,3.75,Yes
4th,3.75,Yes
3rd,3.75,No
3rd,3.25,Yes
2nd,3.75,Yes
3rd,3.75,Yes
3rd,3.75,Yes
4th,3.25,Yes
3rd,3.75,Yes
4th,3.75,No
3rd,3.75,Yes
3rd,3.75,Yes
4th,3.25,No
4th,3.25,Yes
3rd,3.75,Yes
1st,3.75,Yes
1st,3.75,Yes
2nd,3.75,No
1st,3.75,No
1st,3.25,Yes
2nd,3.75,No
4th,3.25,Yes
3rd,3.25,Yes
2nd,3.75,Yes
2nd,3.25,No
3rd,3.75,Yes
2nd,3.75,No
1st,3.25,No
4th,3.75,Yes
1st,3.25,Yes
1st,3.25,Yes
4th,3.75,Yes
2nd,3.25,Yes
3rd,2.75,Yes
1st,3.75,Yes
1st,3.75,Yes
1st,3.25,No
1st,3.25,No
4th,3.25,Yes
3rd,3.75,No
4th,3.25,Yes
3rd,3.25,Yes
3rd,3.25,No
3rd,3.75,Yes
3rd,3.75,Yes
3rd,3.75,Yes
4th,3.25,No
1st,3.25,No
4th,3.25,Yes
4th,3.25,No
4th,3.75,Yes
2nd,2.25,No
4th,3.75,Yes
4th,3.25,Yes
3rd,3.25,Yes
2nd,2.25,Yes
2nd,3.75,Yes
2nd,3.75,No
2nd,3.75,No
2nd,3.75,Yes
4th,3.25,Yes
4th,3.25,Yes
4th,3.25,Yes
4th,3.25,Yes
3rd,3.75,Yes
4th,3.75,Yes
3rd,3.75,Yes
2nd,2.75,No
2nd,3.25,Yes
1st,3.75,No
1st,3.75,Yes
3rd,3.25,Yes
2nd,3.25,Yes
2nd,3.25,Yes
1st,3.25,Yes
2nd,3.75,No
2nd,3.75,Yes
3rd,3.25,Yes
3rd,3.75,Yes
4th,3.25,No
4th,3.25,Yes
3rd,3.75,No
4th,3.75,Yes
2nd,3.75,Yes
